staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,0.5,1.5,66.2127023999983,,66.19975619999968,66.2127023999983,66.7164886999999,66.7164886999999,66.7164886999999,67.03267819999928,67.21848519999912,left,-1.5,1,1,0.4991993999992701,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
50,0.5,1.5,67.22989599999892,,67.21887329999845,67.22989599999892,67.73280439999871,67.73280439999871,67.73280439999871,68.04954799999905,68.79929489999995,right,1.5,1,1,1.0590016000005562,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
51,0.5,1.0,68.8159930999991,,68.7999820999994,68.8159930999991,69.29913789999955,69.29913789999955,69.29913789999955,69.59883199999967,70.08381179999924,right,1.0,1,1,0.7649452000005112,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
52,0.5,1.0,70.09859219999998,,70.0843694999985,70.09859219999998,70.59655229999953,70.59655229999953,70.59655229999953,70.89891689999968,72.69677869999941,right,1.0,1,1,2.0959170999994967,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
53,0.5,1.0,72.71330919999855,,72.6971625999995,72.71330919999855,73.19933039999887,73.19933039999887,73.19933039999887,73.51258029999917,74.36389009999948,right,1.0,1,1,1.1615660000006756,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
54,0.5,1.0,74.38046939999913,,74.3642551999983,74.38046939999913,74.86668609999833,74.86668609999833,74.86668609999833,75.16658969999844,75.58166449999953,right,1.0,1,1,0.7054047000001447,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
55,0.5,1.0,75.59667889999946,,75.58203759999924,75.59667889999946,76.09942969999975,76.09942969999975,76.09942969999975,76.41623069999878,76.78325029999905,right,1.0,1,1,0.6769464999997581,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
56,0.5,1.0,76.80013629999848,,76.78386229999887,76.80013629999848,77.2983779999995,77.2983779999995,77.2983779999995,77.60024269999849,78.18601189999936,right,1.0,1,1,0.8822519999994256,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
57,0.5,1.0,78.20013059999837,,78.18659749999824,78.20013059999837,78.69868499999939,78.69868499999939,78.69868499999939,78.99709879999864,79.65309579999848,left,-1.0,1,1,0.9508742999987589,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
58,0.5,1.0,79.66678389999834,,79.65373909999835,79.66678389999834,80.1642525999996,80.1642525999996,80.1642525999996,80.46332689999872,80.89781819999916,left,-1.0,1,1,0.7216525000003458,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
